,right hip,,right knee,,left hip,,left knee
image?processing?mode,sensor?mode,image?processing?mode,sensor?mode,image?processing?mode,sensor?mode,image?processing?mode,sensor?mode
-51.75,14.9536,-32.6,3.0518,80.9937,-16.4795,-19.6533,-24.8413
-34.18,-0.5493,-30.6,-11.5356,39.5508,-10.3149,2.2583,-27.2827
-48.24,-22.8271,-25.62,-28.1372,0.1221,5.0049,54.5654,-33.9966
-52.52,-51.1475,-35.86,-46.9971,-41.4429,11.3525,78.9795,-31.9824
-45.6,-71.9604,-42.68,-55.3589,-64.1479,21.5454,97.7783,-31.6772
-38.86,-78.186,-40.61,-56.8237,-70.9839,37.1094,118.7134,-38.6353
-40.46,-72.3877,-34.8,-41.5649,-85.9985,54.3213,101.1353,-46.6309
-37.87,-56.9458,-62.77,-24.7803,-108.8867,67.5049,97.5952,-54.9316
-32.61,-39.1235,-32.67,-42.6025,-83.1299,86.0596,94.6655,-57.9834
-22.15,-34.8511,-18.19,-57.6172,-30.9448,101.4404,49.5605,-53.772
-10.75,-33.4473,-10.61,-42.2974,-8.7891,121.521,15.564,-50.0488
4.56,-29.2969,4.83,-26.4893,-3.6621,144.4092,-6.5308,-46.0205
26.54,-28.9917,24.54,6.2256,-32.7759,142.8833,-31.8604,-47.4854
60.08,-18.0054,60.43,-1.0376,-52.7344,127.1362,-53.6499,-53.0396
81.78,-5.6152,88.2,-21.1792,-64.1479,118.103,-48.584,-54.2603
105.81,-4.1504,85.46,-24.4751,-47.0581,123.6572,-75.9277,-54.2603
108.48,-15.3198,92.78,-17.1509,-49.6826,112.3657,-53.5889,-42.5415
76.67,-37.6587,76.55,-21.6064,-42.4194,105.0415,-12.5732,-32.0435
63.35,-57.9224,62.98,-27.771,-39.1846,113.0981,-13.9771,-31.9824
52.82,-63.4155,56.43,-28.6255,-41.2598,106.5063,-2.3804,-34.4849
65.77,-51.2085,45.88,-32.1045,-44.8608,80.9937,-25.0244,-19.6533
40.5,-39.3677,30.76,-31.6162,-46.3257,57.6782,-30.7617,-5.3101
15.12,-37.5366,4.6,-25.6958,-16.4795,39.5508,-24.8413,2.2583
-23.11,-41.8091,-29.72,-24.0479,5.0049,21.4844,-33.9966,26.2451
-73.88,-50.9644,-55.38,-25.0854,21.5454,0.1221,-31.6772,54.5654
-70.64,-52.5513,-40.56,-29.9072,54.3213,-23.9868,-46.6309,71.167
-38.33,-54.7344,-42.27,-35.8887,86.0596,-41.4429,-57.9834,78.9795
-33.75,-47.7583,-42.91,-40.9546,121.521,-54.5654,-50.0488,88.7451
-27.42,-45.9595,5.36,-43.5791,142.8833,-64.1479,-47.4854,97.7783
-4.12,-40.3442,-21.53,-43.5181,118.103,-69.519,-54.2603,108.2153
