,right hip,,right knee,,left hip,,left knee
image?processing?mode,sensor?mode,image?processing?mode,sensor?mode,image?processing?mode,sensor?mode,image?processing?mode,sensor?mode
,-48.8281,,-33.6304,,3.8452,,-2.1362
,-48.2178,,-35.2173,,10.1929,,-5.4321
,-34.668,,-32.1045,,16.7847,,3.7842
,-26.4282,,-32.6538,,21.9116,,11.0474
,-26.1841,,-35.0342,,28.3203,,11.9019
,-30.3955,,-35.3394,,37.4756,,32.1045
,-35.3394,,-36.1328,,47.4854,,54.8706
,-37.7197,,-34.1797,,57.312,,78.2471
,-37.5366,,-32.8979,,68.7256,,109.9854
,-34.1187,,-33.8135,,86.731,,117.6758
,-30.3345,,-31.4331,,97.5342,,110.6567
,-27.5879,,-25.3296,,101.9897,,97.3511
,-27.5879,,-16.1743,,104.0039,,91.4307
,-25.9399,,-11.5967,,101.5625,,91.3086
,-23.9258,,-9.0942,,91.7969,,82.1533
,-23.1934,,-6.2866,,83.1909,,70.2515
,-24.1699,,-6.2866,,74.646,,68.3943
,-24.7192,,-5.7373,,64.4531,,53.6499
,-24.5972,,-7.0801,,57.4951,,48.7671
,-23.3154,,-7.5073,,49.8047,,44.9322
,-20.752,,-6.4087,,44.0674,,42.2974
,-15.0757,,-3.2349,,33.2031,,30.6396
,-9.3994,,-2.1362,,21.9727,,15.564
,-3.9063,,-5.4321,,10.9253,,4.5493
,3.8452,,3.7842,,-2.0142,,-1.5869
,10.1929,,11.0474,,-16.1133,,-10.4343
,16.7847,,11.9019,,-30.2734,,-22.3999
,21.9116,,32.1045,,-44.2505,,-35.2487
,28.3203,,54.8706,,-58.96,,-39.978
,37.4756,,78.2471,,-70.1904,,-56.4575
,47.4854,,109.9854,,-71.167,,-70.6787
,57.312,,117.6758,,-56.2744,,-66.04
,68.7256,,110.6567,,-41.9312,,-61.2793
,86.731,,97.3511,,-39.3066,,-72.8149
,97.5342,,91.4307,,-41.3818,,-63.2324
,101.9897,,91.3086,,-41.8701,,-18.7988
,104.0039,,82.1533,,-40.2222,,-10.437
,101.5625,,70.2515,,-33.5083,,-17.4561
,91.7969,,68.3943,,-19.5313,,-8.3618
,83.1909,,53.6499,,-7.3853,,-5.9814
,74.646,,48.7671,,-11.6577,,-15.1978
,64.4531,,44.9322,,-31.189,,-15.1367
,57.4951,,42.2974,,-48.8281,,-15.4419
,49.8047,,30.6396,,-48.2178,,-24.0479
,44.0674,,15.564,,-34.668,,-33.6304
,33.2031,,4.5493,,-26.4282,,-35.2173
,21.9727,,-1.5869,,-26.1841,,-32.1045
,10.9253,,-10.4343,,-30.3955,,-32.6538
,-2.0142,,-22.3999,,-35.3394,,-35.0342
,-16.1133,,-35.2487,,-37.7197,,-35.3394
,-30.2734,,-39.978,,-37.5366,,-36.1328
,-44.2505,,-56.4575,,-34.1187,,-34.1797
,-58.96,,-70.6787,,-30.3345,,-32.8979
